X,DeMMO2_1.faa,DeMMO2_10.faa,DeMMO2_100.faa,DeMMO2_11.faa,DeMMO2_12.faa,DeMMO2_13.faa,DeMMO2_14.faa,DeMMO2_15.faa,DeMMO2_16.faa,DeMMO2_17.faa,DeMMO2_18.faa,DeMMO2_2.faa,DeMMO2_20.faa,DeMMO2_21.faa,DeMMO2_22.faa,DeMMO2_23.faa,DeMMO2_24.faa,DeMMO2_26.faa,DeMMO2_27.faa,DeMMO2_28.faa,DeMMO2_29.faa,DeMMO2_3.faa,DeMMO2_30.faa,DeMMO2_31.faa,DeMMO2_32.faa,DeMMO2_33.faa,DeMMO2_34.faa,DeMMO2_36.faa,DeMMO2_37.faa,DeMMO2_38.faa,DeMMO2_39.faa,DeMMO2_4.faa,DeMMO2_40.faa,DeMMO2_42.faa,DeMMO2_43.faa,DeMMO2_44.faa,DeMMO2_45.faa,DeMMO2_46.faa,DeMMO2_47.faa,DeMMO2_48.faa,DeMMO2_49.faa,DeMMO2_5.faa,DeMMO2_50.faa,DeMMO2_51.faa,DeMMO2_52.faa,DeMMO2_53.faa,DeMMO2_54.faa,DeMMO2_55.faa,DeMMO2_56.faa,DeMMO2_57.faa,DeMMO2_58.faa,DeMMO2_59.faa,DeMMO2_6.faa,DeMMO2_61.faa,DeMMO2_63.faa,DeMMO2_64.faa,DeMMO2_65.faa,DeMMO2_66.faa,DeMMO2_67.faa,DeMMO2_68.faa,DeMMO2_69.faa,DeMMO2_7.faa,DeMMO2_70.faa,DeMMO2_72.faa,DeMMO2_73.faa,DeMMO2_74.faa,DeMMO2_75.faa,DeMMO2_76.faa,DeMMO2_77.faa,DeMMO2_78.faa,DeMMO2_79.faa,DeMMO2_8.faa,DeMMO2_80.faa,DeMMO2_81.faa,DeMMO2_83.faa,DeMMO2_85.faa,DeMMO2_87.faa,DeMMO2_88.faa,DeMMO2_89.faa,DeMMO2_9.faa,DeMMO2_90.faa,DeMMO2_91.faa,DeMMO2_93.faa,DeMMO2_94.faa,DeMMO2_95.faa,DeMMO2_96.faa,DeMMO2_97.faa,DeMMO2_98.faa,DeMMO2_99.faa,
iron_aquisition-iron_transport,5,6,0,2,2,2,0,2,6,4,2,2,2,0,5,0,0,0,0,2,0,3,0,0,0,0,2,2,0,0,2,2,2,2,0,0,0,3,0,4,2,5,0,6,0,0,0,0,2,2,0,0,2,2,0,3,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,2,0,0,0,4,0,0,
iron_aquisition-heme_transport,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport_potential,18,19,0,6,10,10,0,0,22,13,12,8,0,0,7,0,9,0,6,10,0,15,0,5,5,7,5,9,5,0,5,6,2,0,4,8,5,16,0,0,0,8,0,21,0,7,7,0,21,10,13,8,15,0,3,7,3,2,0,7,0,0,4,2,6,0,0,2,0,3,0,14,2,10,7,3,5,6,9,8,0,0,0,5,5,4,20,0,0,
iron_gene_regulation,6,3,0,0,9,10,1,3,3,5,3,6,4,1,8,2,12,2,3,2,3,6,0,6,1,2,0,3,5,1,4,7,2,0,3,0,3,6,2,1,0,6,3,4,1,4,3,1,10,10,6,1,7,0,2,7,1,0,2,3,1,1,1,4,1,1,1,6,1,1,1,7,0,5,1,0,4,3,1,12,1,1,1,0,2,0,3,1,2,
iron_oxidation,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
iron_reduction,0,0,0,0,5,5,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
iron_storage,2,1,1,1,3,3,0,0,3,2,4,1,2,2,1,0,1,1,0,3,1,1,1,0,1,1,0,1,2,0,2,2,1,0,2,1,0,3,1,0,0,1,0,0,0,1,0,0,5,3,1,0,3,0,0,4,0,1,0,3,0,0,0,0,3,1,0,1,1,0,2,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
magnetosome_formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
