X,DeMMO3_1.faa,DeMMO3_10.faa,DeMMO3_100.faa,DeMMO3_11.faa,DeMMO3_12.faa,DeMMO3_13.faa,DeMMO3_14.faa,DeMMO3_15.faa,DeMMO3_16.faa,DeMMO3_17.faa,DeMMO3_18.faa,DeMMO3_19.faa,DeMMO3_2.faa,DeMMO3_20.faa,DeMMO3_21.faa,DeMMO3_22.faa,DeMMO3_23.faa,DeMMO3_24.faa,DeMMO3_26.faa,DeMMO3_27.faa,DeMMO3_29.faa,DeMMO3_3.faa,DeMMO3_30.faa,DeMMO3_31.faa,DeMMO3_32.faa,DeMMO3_33.faa,DeMMO3_36.faa,DeMMO3_37.faa,DeMMO3_38.faa,DeMMO3_39.faa,DeMMO3_4.faa,DeMMO3_41.faa,DeMMO3_42.faa,DeMMO3_43.faa,DeMMO3_44.faa,DeMMO3_45.faa,DeMMO3_46.faa,DeMMO3_47.faa,DeMMO3_48.faa,DeMMO3_49.faa,DeMMO3_5.faa,DeMMO3_50.faa,DeMMO3_51.faa,DeMMO3_52.faa,DeMMO3_53.faa,DeMMO3_54.faa,DeMMO3_55.faa,DeMMO3_56.faa,DeMMO3_57.faa,DeMMO3_58.faa,DeMMO3_59.faa,DeMMO3_6.faa,DeMMO3_60.faa,DeMMO3_61.faa,DeMMO3_62.faa,DeMMO3_63.faa,DeMMO3_64.faa,DeMMO3_65.faa,DeMMO3_66.faa,DeMMO3_68.faa,DeMMO3_7.faa,DeMMO3_70.faa,DeMMO3_71.faa,DeMMO3_73.faa,DeMMO3_74.faa,DeMMO3_75.faa,DeMMO3_76.faa,DeMMO3_77.faa,DeMMO3_79.faa,DeMMO3_8.faa,DeMMO3_80.faa,DeMMO3_81.faa,DeMMO3_83.faa,DeMMO3_86.faa,DeMMO3_87.faa,DeMMO3_88.faa,DeMMO3_89.faa,DeMMO3_9.faa,DeMMO3_90.faa,DeMMO3_91.faa,DeMMO3_92.faa,DeMMO3_93.faa,DeMMO3_96.faa,DeMMO3_97.faa,DeMMO3_98.faa,DeMMO3_99.faa,
iron_aquisition-iron_transport,0,3,4,3,2,5,0,2,6,2,0,2,2,0,2,4,2,0,0,0,8,4,0,0,3,0,2,0,0,0,5,6,2,2,0,0,0,4,3,5,6,0,9,0,0,2,2,0,0,2,2,4,0,0,2,2,0,0,0,0,0,0,2,0,3,0,0,2,0,5,0,2,2,2,3,2,0,8,0,0,0,0,0,2,0,0,
iron_aquisition-heme_transport,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport_potential,15,10,0,0,15,0,15,12,22,4,0,8,26,0,15,14,0,0,12,0,4,16,14,8,4,0,0,0,0,0,15,9,0,4,7,7,2,2,9,2,8,0,0,14,2,0,11,2,0,2,0,21,5,0,3,0,2,0,0,0,28,0,2,4,0,3,0,0,0,15,4,6,0,6,4,4,2,18,0,0,0,9,3,0,2,0,
iron_gene_regulation,7,9,2,2,10,1,4,2,8,3,3,2,3,2,2,8,3,2,6,4,5,4,1,1,5,2,3,1,3,1,9,3,0,2,1,0,1,2,1,5,13,1,9,3,5,1,0,2,1,3,4,9,4,2,6,4,2,2,2,6,5,1,0,3,1,2,1,1,1,13,1,5,0,3,2,2,2,8,4,1,0,1,0,2,0,2,
iron_oxidation,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
iron_reduction,0,0,3,0,0,0,0,0,4,7,7,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,
