X,DeMMO4_1.faa,DeMMO4_10.faa,DeMMO4_11.faa,DeMMO4_12.faa,DeMMO4_13.faa,DeMMO4_14.faa,DeMMO4_15.faa,DeMMO4_16.faa,DeMMO4_17.faa,DeMMO4_18.faa,DeMMO4_19.faa,DeMMO4_2.faa,DeMMO4_24.faa,DeMMO4_25.faa,DeMMO4_26.faa,DeMMO4_27.faa,DeMMO4_28.faa,DeMMO4_3.faa,DeMMO4_30.faa,DeMMO4_31.faa,DeMMO4_32.faa,DeMMO4_33.faa,DeMMO4_34.faa,DeMMO4_37.faa,DeMMO4_38.faa,DeMMO4_39.faa,DeMMO4_4.faa,DeMMO4_40.faa,DeMMO4_41.faa,DeMMO4_42.faa,DeMMO4_43.faa,DeMMO4_44.faa,DeMMO4_45.faa,DeMMO4_5.faa,DeMMO4_6.faa,DeMMO4_7.faa,DeMMO4_8.faa,DeMMO4_9.faa,
iron_aquisition-iron_transport,5,4,2,4,3,0,3,2,0,3,0,0,0,0,0,0,0,6,0,2,0,2,0,4,0,0,2,0,2,0,0,11,0,4,2,2,0,0,
iron_aquisition-heme_transport,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport_potential,18,6,7,19,12,0,2,8,7,11,17,19,20,9,2,0,3,36,7,0,2,0,0,8,6,0,9,0,9,2,4,14,7,11,27,10,11,0,
iron_gene_regulation,2,3,6,9,6,0,0,3,6,5,3,12,2,9,2,1,2,16,8,3,0,3,0,7,12,0,4,2,5,11,1,14,9,12,5,3,18,3,
iron_oxidation,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
iron_storage,1,0,0,2,3,1,0,0,1,1,2,3,1,2,0,0,0,3,1,0,0,1,1,3,1,1,0,0,0,1,0,2,0,4,1,1,2,0,
magnetosome_formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
