X,DeMMO6_1.faa,DeMMO6_10.faa,DeMMO6_100.faa,DeMMO6_11.faa,DeMMO6_12.faa,DeMMO6_13.faa,DeMMO6_14.faa,DeMMO6_15.faa,DeMMO6_16.faa,DeMMO6_17.faa,DeMMO6_18.faa,DeMMO6_19.faa,DeMMO6_2.faa,DeMMO6_20.faa,DeMMO6_21.faa,DeMMO6_22.faa,DeMMO6_23.faa,DeMMO6_24.faa,DeMMO6_25.faa,DeMMO6_26.faa,DeMMO6_27.faa,DeMMO6_28.faa,DeMMO6_29.faa,DeMMO6_3.faa,DeMMO6_30.faa,DeMMO6_31.faa,DeMMO6_32.faa,DeMMO6_33.faa,DeMMO6_34.faa,DeMMO6_35.faa,DeMMO6_36.faa,DeMMO6_37.faa,DeMMO6_4.faa,DeMMO6_40.faa,DeMMO6_42.faa,DeMMO6_43.faa,DeMMO6_45.faa,DeMMO6_46.faa,DeMMO6_48.faa,DeMMO6_49.faa,DeMMO6_5.faa,DeMMO6_50.faa,DeMMO6_51.faa,DeMMO6_52.faa,DeMMO6_53.faa,DeMMO6_54.faa,DeMMO6_55.faa,DeMMO6_56.faa,DeMMO6_57.faa,DeMMO6_58.faa,DeMMO6_6.faa,DeMMO6_60.faa,DeMMO6_61.faa,DeMMO6_62.faa,DeMMO6_63.faa,DeMMO6_64.faa,DeMMO6_65.faa,DeMMO6_66.faa,DeMMO6_67.faa,DeMMO6_68.faa,DeMMO6_69.faa,DeMMO6_7.faa,DeMMO6_70.faa,DeMMO6_71.faa,DeMMO6_72.faa,DeMMO6_73.faa,DeMMO6_74.faa,DeMMO6_75.faa,DeMMO6_77.faa,DeMMO6_79.faa,DeMMO6_8.faa,DeMMO6_80.faa,DeMMO6_81.faa,DeMMO6_82.faa,DeMMO6_84.faa,DeMMO6_85.faa,DeMMO6_86.faa,DeMMO6_87.faa,DeMMO6_88.faa,DeMMO6_89.faa,DeMMO6_9.faa,DeMMO6_90.faa,DeMMO6_91.faa,DeMMO6_92.faa,DeMMO6_93.faa,DeMMO6_94.faa,DeMMO6_95.faa,DeMMO6_96.faa,DeMMO6_97.faa,DeMMO6_98.faa,DeMMO6_99.faa,
iron_aquisition-iron_transport,2,4,0,7,20,0,4,11,11,10,4,8,5,4,6,2,3,2,5,3,9,2,7,4,7,2,4,6,4,2,7,0,8,0,2,8,8,6,4,4,5,0,5,2,0,2,0,9,0,2,7,7,0,4,0,0,0,2,0,2,2,6,5,0,0,0,2,6,3,0,2,4,4,4,0,5,0,2,0,0,0,4,2,0,2,0,2,0,2,2,3,
iron_aquisition-heme_transport,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,2,0,0,1,1,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport_potential,24,21,0,2,14,15,4,2,10,16,12,5,15,11,8,10,7,4,7,4,2,6,13,15,12,20,12,7,0,5,5,5,16,7,19,4,6,9,8,4,15,0,2,25,7,0,9,0,2,5,36,5,2,2,0,2,2,0,5,3,0,0,6,0,2,0,2,3,0,5,3,0,3,0,8,3,6,2,0,0,19,0,6,0,3,9,0,6,0,0,0,
iron_gene_regulation,43,9,1,12,13,8,10,13,14,7,8,5,9,6,5,41,2,8,8,2,11,11,6,18,25,7,6,13,3,4,3,2,30,1,5,5,8,3,5,2,12,1,5,11,6,0,90,9,0,3,10,6,5,2,1,9,5,4,3,6,9,4,6,2,1,6,1,3,1,1,8,3,1,6,5,2,8,2,1,1,12,1,3,2,1,1,1,1,0,1,2,
iron_oxidation,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_reduction,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,
