X,DeMMO1_simplified_contigs.faa,DeMMO2_simplified_contigs.faa,DeMMO3_simplified_contigs.faa,DeMMO4_simplified_contigs.faa,DeMMO5_simplified_contigs.faa,DeMMO6_simplified_contigs.faa,SW_simplified_contigs.faa,WC_simplified_contigs.faa,
iron_aquisition-iron_transport,64,191,186,126,136,419,230,78,
iron_aquisition-heme_transport,8,21,18,13,11,38,17,1,
iron_aquisition-heme_oxygenase,1,1,0,0,0,0,0,1,
iron_aquisition-siderophore_synthesis,5,0,0,0,5,0,15,0,
iron_aquisition-siderophore_transport_potential,328,766,707,509,386,810,887,269,
iron_gene_regulation,304,558,556,356,297,1091,962,450,
iron_oxidation,10,32,19,8,5,19,25,0,
possible_iron_oxidation_and_possible_iron_reduction,2,2,0,2,2,2,0,0,
probable_iron_reduction,0,8,3,0,3,6,3,0,
iron_reduction,0,76,123,16,28,111,6,0,
iron_storage,39,154,138,70,87,216,218,56,
magnetosome_formation,0,0,0,0,0,0,0,0,
