rxn.number,e.acceptor,e.donor,reactant.a,reactant.b,reactant.c,reactant.d,product.e,product.f,product.g,product.h,product.i,e.transfer,coeff.a,coeff.b,coeff.c,coeff.d,coeff.e,coeff.f,coeff.g,coeff.h,coeff.i,state.a,state.b,state.c,state.d,state.e,state.f,state.g,state.h,state.i,iron
1,ClO4-,Fe+2,ClO4-,Fe+2,H2O,,Cl-,ferrihydrite,H+,,,8,-1,-8,-12,,1,8,16,,,aq,aq,liq,,aq,cr,aq,,,Fe+2
2,CO,Fe+2,CO,Fe+2,H2O,,ferrihydrite,CH4,H+,,,6,-1,-6,-11,,6,1,12,,,aq,aq,liq,,cr,aq,aq,,,Fe+2
3,HCO3-,Fe+2,HCO3-,Fe+2,H2O,,ferrihydrite,CH4,H+,,,8,-1,-8,-13,,8,1,15,,,aq,aq,liq,,cr,aq,aq,,,Fe+2
4,HCO3-,Fe+2,HCO3-,Fe+2,H2O,,ferrihydrite,acetate,H+,,,8,-2,-8,-12,,8,1,15,,,aq,aq,liq,,cr,aq,aq,,,Fe+2
5,NO3-,Fe+2,NO3-,Fe+2,H2O,,NH4+,ferrihydrite,H+,,,8,-1,-8,-13,,1,8,14,,,aq,aq,liq,,aq,cr,aq,,,Fe+2
6,NO3-,Fe+2,NO3-,Fe+2,H2O,,NO2-,ferrihydrite,H+,,,2,-1,-2,-3,,1,2,4,,,aq,aq,liq,,aq,cr,aq,,,Fe+2
7,O2,Fe+2,O2,Fe+2,H2O,,ferrihydrite,H+,,,,4,-1,-4,-6,,4,8,,,,aq,aq,liq,,cr,aq,,,,Fe+2
8,ferrihydrite,acetate,ferrihydrite,acetate,H+,,Fe+2,HCO3-,H2O,,,8,-8,-1,-15,,8,2,12,,,cr,aq,aq,,aq,aq,liq,,,ferrihydrite
9,goethite,acetate,goethite,acetate,H+,,Fe+2,HCO3-,H2O,,,8,-8,-1,-15,,8,2,12,,,cr,aq,aq,,aq,aq,liq,,,goethite
10,lepidocrocite,acetate,lepidocrocite,acetate,H+,,Fe+2,HCO3-,H2O,,,8,-8,-1,-15,,8,2,12,,,cr,aq,aq,,aq,aq,liq,,,lepidocrocite
11,ferrihydrite,CH4,ferrihydrite,CH4,H+,,HCO3-,Fe+2,H2O,,,8,-8,-1,-15,,1,8,13,,,cr,aq,aq,,aq,aq,liq,,,ferrihydrite
12,goethite,CH4,goethite,CH4,H+,,HCO3-,Fe+2,H2O,,,8,-8,-1,-15,,1,8,13,,,cr,aq,aq,,aq,aq,liq,,,goethite
13,lepidocrocite,CH4,lepidocrocite,CH4,H+,,HCO3-,Fe+2,H2O,,,8,-8,-1,-15,,1,8,13,,,cr,aq,aq,,aq,aq,liq,,,lepidocrocite
14,ferrihydrite,CH4,ferrihydrite,CH4,H+,,CO,Fe+2,H2O,,,6,-6,-1,-12,,1,6,11,,,cr,aq,aq,,aq,aq,liq,,,ferrihydrite
