site,genome,call,category,gene_function,Gene.abbreviation,Gene.name,hits,gene_counts,rel_hits
D1,simplified,fegenie,iron_aquisition-heme_oxygenase,HmuO-family-heme-oxygenase,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_aquisition-heme_transport,HmuV-family-ATP-binding-protein,NA,NA,4,128801,0.003105565950574918
D1,simplified,fegenie,iron_aquisition-heme_transport,TonB-family,NA,NA,4,128801,0.003105565950574918
D1,simplified,fegenie,iron_aquisition-iron_transport,EfeB-family peroxidase,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-iron_transport,EfeO-family-iron-uptake,NA,NA,4,128801,0.003105565950574918
D1,simplified,fegenie,iron_aquisition-iron_transport,EfeU-family-iron-perease,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-iron_transport,FbpA-family-iron-binding-protein,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-iron_transport,FbpB-family-iron-permease,NA,NA,3,128801,0.0023291744629311884
D1,simplified,fegenie,iron_aquisition-iron_transport,FbpB-FutB-family-iron-permease,NA,NA,3,128801,0.0023291744629311884
D1,simplified,fegenie,iron_aquisition-iron_transport,FbpC-family-ATPase,NA,NA,3,128801,0.0023291744629311884
D1,simplified,fegenie,iron_aquisition-iron_transport,FeoA-family-iron-transporter,NA,NA,10,128801,0.007763914876437295
D1,simplified,fegenie,iron_aquisition-iron_transport,FeoB-family-iron-transporter,NA,NA,12,128801,0.009316697851724754
D1,simplified,fegenie,iron_aquisition-iron_transport,FeoE-family-iron-efflux,NA,NA,3,128801,0.0023291744629311884
D1,simplified,fegenie,iron_aquisition-iron_transport,FutA1-family-iron-binding-proteins,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_aquisition-iron_transport,FutA2-family-iron-binding-proteins,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_aquisition-iron_transport,YfeA-family-iron-binding-proteins,NA,NA,7,128801,0.0054347404135061065
D1,simplified,fegenie,iron_aquisition-iron_transport,YfeB-family-membrane-proteins,NA,NA,9,128801,0.006987523388793565
D1,simplified,fegenie,iron_aquisition-iron_transport,Zip-family-zink-and-iron-uptake,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-siderophore_synthesis,PvdE-family-siderophore-synthesis,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_aquisition-siderophore_synthesis,PvdM-family-siderophore-synthesis,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_aquisition-siderophore_synthesis,PvdN-family-siderophore-synthesis,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_aquisition-siderophore_synthesis,PvdO-family-siderophore-synthesis,NA,NA,1,128801,7.763914876437295e-4
