,phylum,hex.color,order
unclassified,__,#000000,1
unclassified,Ambiguous_taxa,#1F1F1F,2
unclassified,Bacteria,#1F1F1F,3
unclassified,Other,#1F1F1F,4
unclassified,Unassigned,#1F1F1F,5
unclassified,uncultured_bacteria,#000000,6
unclassified,Opalinata,#000000,7
archaea,Euryarchaeota,#560B8E,8
archaea,Crenarchaeota,#790Fc8,9
archaea,Korarchaeota,#F0A5E6,10
archaea,Thaumarchaeota,#680Dab,11
archaea,Methanomicrobia,#A569Bd,12
archaea,Methanobacteria,#7D3C98,13
archaea,Halobacteria,#8A11E4,14
uncult archaea,Aenigmarchaeota,#9F8Aab,15
uncult archaea,Altiarchaeota,#e2dae8,16
uncult archaea,Asgardaeota,#E5Ccf7,17
uncult archaea,Asgardarchaeota,#E5Ccf7,18
uncult archaea,Diapherotrites,#B977E9,19
uncult archaea,Hadesarchaeaeota,#Decbff,20
uncult archaea,Hydrothermarchaeota,#Baa2E6,21
uncult archaea,Halobacterota,#0C4D9C,22
uncult archaea,Hadarchaeota,#Decbff,23
uncult archaea,Iainarchaeota,#C7A9C3,24
uncult archaea,Micrarchaeota,#C288Ec,25
uncult archaea,Nanoarchaeaeota,#D3Aaf1,26
uncult archaea,Nanoarchaeota,#D3Aaf1,27
uncult archaea,Nanohaloarchaeota,#8A0Ac9,28
uncult archaea,Woesearchaeota,#272051,29
uncult archaea,Archaea,#A200Ff,30
uncult archaea,uncultured_archaea,#000000,31
proteo,Alphaproteobacteria,#787878,32
proteo,Betaproteobacteria,#585858,33
proteo,Proteobacteria,#808080,34
proteo,Deltaproteobacteria,#989898,35
proteo,Desulfobacterota,#989898,36
proteo,Gammaproteobacteria,#C8C8C8,37
proteo,Epsilonbacteraeota,#D3D3D3,38
bacteria,Acidobacteria,#347aeb,39
bacteria,Acidobacteriota,#347aeb,40
bacteria,Actinobacteria,#005Cff,41
bacteria,Actinobacteriota,#005Cff,42
bacteria,Anaerolineales,#00B9E0,43
bacteria,Aquificota,#1C58Ed,44
bacteria,Armatimonadetes,#79D9F2,45
bacteria,Armatimonadota,#79D9F2,46
bacteria,Bacteroidetes,#0084Ff,47
bacteria,Bacteroidota,#0084Ff,48
bacteria,Bdellovibrionota,#5199C2,49
bacteria,Brocadiae,#0015E5,50
bacteria,Caldiserica,#00B6E5,51
bacteria,Caldisericota,#00B6E5,52
bacteria,Calditrichaeota,#227799,53
bacteria,Calditrichota,#227799,54
bacteria,Calescibacterota,#3F7F42,55
bacteria,Campilobacterota,#3F7F42,56
bacteria,Chlamydiae,#00A1Ff,57
bacteria,Chlorobi,#B3E0Ff,58
bacteria,Chloroflexi,#00B9E0,59
bacteria,Chrysiogenetota,#72D4F7,60
bacteria,Clostridia,#7984F2,61
bacteria,Coprothermobacterota,#5C59Ff,62
bacteria,Cyanobacteria,#Ccd0Ff,63
bacteria,Cytophagia,#Bbccdd,64
bacteria,Deferribacteres,#118822,65
bacteria,Deferribacterota,#118822,66
bacteria,Deferrisomatota,#118822,67
bacteria,Deinococcota,#Aabbdd,68
