pathway,call,category,gene_function,Gene.abbreviation
Ammonia oxidation,metabolic,Nitrogen cycling,Ammonia oxidation,amoA
Ammonia oxidation,metabolic,Nitrogen cycling,Ammonia oxidation,amoC
Ammonia oxidation,metabolic,Nitrogen cycling,Ammonia oxidation,amoB
Carbon fixation,metabolic,Carbon fixation,3 Hydroxypropionate cycle,prpE
Carbon fixation,metabolic,Carbon fixation,3HP/4HB,abfD
Carbon fixation,metabolic,Carbon fixation,3HP/4HB,K14466
Carbon fixation,metabolic,Carbon fixation,CBB cycle - Rubisco,Form I
Carbon fixation,metabolic,Carbon fixation,CBB cycle - Rubisco,Form II
Carbon fixation,metabolic,Carbon fixation,CBB cycle - Rubisco,Form II/III
Carbon fixation,metabolic,Carbon fixation,Reverse TCA cycle,aclA
Carbon fixation,metabolic,Carbon fixation,Reverse TCA cycle,aclB
Carbon fixation,metabolic,Carbon fixation,Wood Ljungdahl pathway,cdhD
Carbon fixation,metabolic,Carbon fixation,Wood Ljungdahl pathway,cdhE
Carbon fixation,metabolic,Carbon fixation,Wood Ljungdahl pathway,cooS
hydrogen oxidation,metabolic,Hydrogenases,FeFe hydrogenase,fefe-group-a13
hydrogen oxidation,metabolic,Hydrogenases,FeFe hydrogenase,fefe-group-c1
hydrogen oxidation,metabolic,Hydrogenases,FeFe hydrogenase,fefe-group-c3
hydrogen oxidation,metabolic,Hydrogenases,FeFe hydrogenase,fefe-group-b
hydrogen oxidation,metabolic,Hydrogenases,FeFe hydrogenase,fefe-group-c2
hydrogen oxidation,metabolic,Hydrogenases,FeFe hydrogenase,fefe-group-a4
hydrogen oxidation,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-1
hydrogen oxidation,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-3abd
hydrogen oxidation,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-4a-g
hydrogen oxidation,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-3c
hydrogen oxidation,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-2bc
hydrogen oxidation,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-2ade
hydrogen oxidation,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-4hi
iron_oxidation,fegenie,iron_oxidation,Cyc1,NA
iron_oxidation,fegenie,iron_oxidation,Cyc2_repCluster1,NA
iron_oxidation,fegenie,iron_oxidation,Cyc2_repCluster2,NA
iron_oxidation,fegenie,iron_oxidation,Cyc2_repCluster3,NA
iron_oxidation,fegenie,iron_oxidation,FoxE,NA
iron_oxidation,fegenie,iron_oxidation,FoxY,NA
iron_reduction,fegenie,iron_reduction,2514223670 filler {omc} Geobacter sulfurreducens CxxxxCH...CXXCH domain-containing protein [Ignavibacterium album Mat9-16; JCM 16511 : NC_017464],NA
iron_reduction,fegenie,iron_reduction,2514223671 filler {pc} c(7)-type cytochrome triheme domain-containing protein [Ignavibacterium album Mat9-16; JCM 16511 : NC_017464],NA
iron_reduction,fegenie,iron_reduction,2514223672 filler {porin} hypothetical protein [Ignavibacterium album Mat9-16; JCM 16511 : NC_017464],NA
iron_reduction,fegenie,iron_reduction,637127333 NP_953688 {omc} (extC) cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],NA
iron_reduction,fegenie,iron_reduction,637127334 NP_953689 {porin} (extB) hypothetical protein [Geobacter sulfurreducens PCA: NC_002939],NA
iron_reduction,fegenie,iron_reduction,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],NA
iron_reduction,fegenie,iron_reduction,637127416 NP_953770 {pc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],NA
iron_reduction,fegenie,iron_reduction,637127417 NP_953771 {porin} hypothetical protein [Geobacter sulfurreducens PCA: NC_002939],NA
iron_reduction,fegenie,iron_reduction,637127428 NP_953782 {omc} omcB polyheme membrane-associated cytochrome c [Geobacter sulfurreducens PCA: NC_002939],NA
iron_reduction,fegenie,iron_reduction,637127429 NP_953783 {pc} omaB cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],NA
iron_reduction,fegenie,iron_reduction,637127430 NP_953784 {porin} ombB hypothetical protein [Geobacter sulfurreducens PCA: NC_002939],NA
iron_reduction,fegenie,iron_reduction,637778105 YP_383794 {pc} cytochrome c family protein [Geobacter metallireducens GS-15: NC_007517],NA
iron_reduction,fegenie,iron_reduction,637778187 YP_383875 {porin} hypothetical protein [Geobacter metallireducens GS-15: NC_007517],NA
iron_reduction,fegenie,iron_reduction,637778191 YP_383879 {pc} cytochrome c family protein [Geobacter metallireducens GS-15: NC_007517],NA
iron_reduction,fegenie,iron_reduction,638465402 ZP_01313809 {porin} hypothetical protein [Desulfuromonas acetoxidans DSM 684; unfinished sequence: NZ_AAEW02000022],NA
iron_reduction,fegenie,iron_reduction,638465403 ZP_01313810 {pc} cytochrome c family protein [Desulfuromonas acetoxidans DSM 684; unfinished sequence: NZ_AAEW02000022],NA
iron_reduction,fegenie,iron_reduction,640548487 YP_001229770 {porin} hypothetical protein [Geobacter uraniumreducens Rf4: NC_009483],NA
iron_reduction,fegenie,iron_reduction,640548488 YP_001229771 {pc} hypothetical protein [Geobacter uraniumreducens Rf4: NC_009483],NA
iron_reduction,fegenie,iron_reduction,640548489 YP_001229772 {omc} cytochrome C family protein [Geobacter uraniumreducens Rf4: NC_009483],NA
iron_reduction,fegenie,iron_reduction,640549328 YP_001230600 {omc} cytochrome C family protein [Geobacter uraniumreducens Rf4: NC_009483],NA
iron_reduction,fegenie,iron_reduction,640549330 YP_001230602 {porin} hypothetical protein [Geobacter uraniumreducens Rf4: NC_009483],NA
iron_reduction,fegenie,iron_reduction,642557019 CAJ74787 {porin} unknown protein [Kuenenia stuttgartiensis genome fragment KUST_E (5 of 5).: CT573071],NA
iron_reduction,fegenie,iron_reduction,642557020 CAJ74788 {pc} hypothetical multiheme cytochrome c protein [Kuenenia stuttgartiensis genome fragment KUST_E (5 of 5).: CT573071],NA
iron_reduction,fegenie,iron_reduction,642769370 YP_002140170 {omc} polyheme membrane-associated cytochrome c [Geobacter bemidjiensis Bem: NC_011146],NA
iron_reduction,fegenie,iron_reduction,643638980 YP_002537145 {omc} hypothetical protein [Geobacter sp. FRC-32: NC_011979],NA
iron_reduction,fegenie,iron_reduction,646796949 YP_003639120 TherJR_0333 hypothetical protein [Thermincola sp. JR: NC_014152],NA
iron_reduction,fegenie,iron_reduction,646797728 YP_003639887 TherJR_1122 cytochrome C family protein [Thermincola sp. JR: NC_014152],NA
iron_reduction,fegenie,iron_reduction,646799199 YP_003641333 TherJR_2595 hypothetical protein [Thermincola sp. JR: NC_014152],NA
iron_reduction,fegenie,iron_reduction,646847492 YP_003691554 {porin} hypothetical protein [Desulfurivibrio alkaliphilus AHT2 chromosome: NC_014216],NA
iron_reduction,fegenie,iron_reduction,646847494 YP_003691556 {omc} hypothetical protein [Desulfurivibrio alkaliphilus AHT2 chromosome: NC_014216],NA
iron_reduction,fegenie,iron_reduction,649844784 YP_004113752 {pc} hypothetical protein [Desulfurispirillum indicum S5 chromosome: NC_014836],NA
iron_reduction,fegenie,iron_reduction,649844785 YP_004113753 (porin} hypothetical protein [Desulfurispirillum indicum S5 chromosome: NC_014836],NA
iron_reduction,fegenie,iron_reduction,649931661 YP_004200172 {pc} cytochrome c family protein [Geobacter sp. M18 chromosome: NC_014973],NA
iron_reduction,fegenie,iron_reduction,649931662 YP_004200173 {porin} hypothetical protein [Geobacter sp. M18 chromosome: NC_014973],NA
iron_reduction,fegenie,iron_reduction,DFE_0448,NA
iron_reduction,fegenie,iron_reduction,DFE_0449,NA
iron_reduction,fegenie,iron_reduction,DFE_0450,NA
iron_reduction,fegenie,iron_reduction,DFE_0461,NA
iron_reduction,fegenie,iron_reduction,DFE_0462,NA
iron_reduction,fegenie,iron_reduction,DFE_0463,NA
iron_reduction,fegenie,iron_reduction,DFE_0464,NA
iron_reduction,fegenie,iron_reduction,DFE_0465,NA
iron_reduction,fegenie,iron_reduction,MtrA,NA
iron_reduction,fegenie,iron_reduction,MtrB_TIGR03509,NA
iron_reduction,fegenie,iron_reduction,MtrC_TIGR03507,NA
iron_reduction,fegenie,iron_reduction,OmcF,NA
iron_reduction,fegenie,iron_reduction,OmcS,NA
