rxn.number,site,e.donor,e.acceptor,e.transfer,LogK,logQ,deltaG,energy_density
1,D1,Fe+2,ClO4-,8,47.93324827978006,-50.66519999999999,-66.88989475563672,-30.12993948736449
1,D2,Fe+2,ClO4-,8,47.751327668780164,-51.4397,-67.2919048648841,-29.31193717773692
1,D3,Fe+2,ClO4-,8,47.42890633855359,-47.02569999999999,-64.07868265069455,-29.787786425191843
1,D4,Fe+2,ClO4-,8,46.91170699324391,-23.457500000000014,-47.73897492239723,-29.444626910639823
1,D5,Fe+2,ClO4-,8,46.19032096599187,-31.0435,-52.39597829502889,-29.73730204643815
1,D6,Fe+2,ClO4-,8,46.99245671144149,-62.71759999999999,-74.42808964132743,-33.40076312797679
2,D1,Fe+2,CO,6,-84.11205734756746,-59.01069571100888,22.705258448263088,NaN
2,D2,Fe+2,CO,6,-83.38681976239185,-59.12452912566344,21.946282732784788,NaN
2,D3,Fe+2,CO,6,-82.10204932310118,-55.23202587041819,24.305088936510053,NaN
2,D4,Fe+2,CO,6,-80.04768599598746,-35.95992211509588,39.879273794602135,NaN
2,D5,Fe+2,CO,6,-77.20791988541585,-42.25120913152776,31.619844519200505,NaN
2,D6,Fe+2,CO,6,-80.36763662224858,-68.17864250943931,11.025468082680272,NaN
3,D1,Fe+2,HCO3-,8,-120.37938803438354,-78.6639,28.300086390630995,NaN
3,D2,Fe+2,HCO3-,8,-119.31207441257847,-78.5118,27.679198902952145,NaN
3,D3,Fe+2,HCO3-,8,-117.41766624768029,-74.2449,29.28871438648447,NaN
3,D4,Fe+2,HCO3-,8,-114.37888854509121,-48.36030000000002,44.78748415153745,NaN
3,D5,Fe+2,HCO3-,8,-110.15894035507678,-56.01520000000001,36.73150193754433,NaN
3,D6,Fe+2,HCO3-,8,-114.85292772428805,-90.6141,16.443794641442953,NaN
4,D1,Fe+2,HCO3-,8,-122.97621165609404,-71.9801,34.596128043957876,NaN
4,D2,Fe+2,HCO3-,8,-121.89932325956943,-71.8278,33.968880641845395,NaN
4,D3,Fe+2,HCO3-,8,-119.98883112239068,-69.15690000000001,34.48474679190023,NaN
4,D4,Fe+2,HCO3-,8,-116.92656427898552,-44.430500000000016,49.18185016521876,NaN
4,D5,Fe+2,HCO3-,8,-112.67844085950466,-51.62850000000001,41.4167179116505,NaN
4,D6,Fe+2,HCO3-,8,-117.40408646759568,-86.651,20.8631145126279,NaN
5,D1,Fe+2,NO3-,8,-24.232726175674088,-64.7729,-27.502744797663137,-3.948923961042711
5,D2,Fe+2,NO3-,8,-23.87944792208873,-64.31869999999999,-27.434278760783165,-3.9321064527935565
5,D3,Fe+2,NO3-,8,-23.25188771187959,-60.62989999999999,-25.35751172303182,-4.023893365063793
