id,,Taxon,,,,,,,,,,,,,,Number scaffolds,,,,Number genes,,,,,Genome size (Mbp),,,,Average completeness,,,,s.d. of completeness,,,,,,,Contamination,,
SURF_1,,Proteobacteria; Oxalobacter,,,,,,,,,,,,,,17,,,,2253,,,,,2.32,,,,97.6,,,,2.1,,,,,,,3.5,,
SURF_2,,Ignavibacteriales,,,,,,,,,,,,,,114,,,,3654,,,,,4.06,,,,97.3,,,,3.4,,,,,,,4.5,,
SURF_3,,Proteobacteria; Desulfobacteraceae,,,,,,,,,,,,,,90,,,,4281,,,,,4.51,,,,96.9,,,,3.8,,,,,,,5.4,,
SURF_4,,Proteobacteria; Desulfobacteraceae,,,,,,,,,,,,,,197,,,,5969,,,,,6.45,,,,95.9,,,,3.4,,,,,,,7.2,,
SURF_5,,SURF-CP-1,,,,,,,,,,,,,,145,,,,4482,,,,,5.10,,,,95.7,,,,3.0,,,,,,,4.3,,
SURF_6,,Actinobacteria,,,,,,,,,,,,,,58,,,,2812,,,,,2.81,,,,95.4,,,,4.3,,,,,,,8.3,,
SURF_7,,Proteobacteria; Desulfobacteraceae,,,,,,,,,,,,,,100,,,,4680,,,,,5.01,,,,95.1,,,,3.8,,,,,,,3.9,,
SURF_8,,Proteobacteria; Myxococcales,,,,,,,,,,,,,,183,,,,4450,,,,,5.40,,,,94.0,,,,5.4,,,,,,,5.8,,
SURF_9,,Zixibacteria,,,,,,,,,,,,,,140,,,,3190,,,,,3.77,,,,93.9,,,,4.0,,,,,,,4.4,,
SURF_10,,Proteobacteria; Desulfarculus,,,,,,,,,,,,,,78,,,,3539,,,,,3.60,,,,93.5,,,,3.2,,,,,,,5,,
SURF_11,,Nitrospirae; Nitrospiraceae,,,,,,,,,,,,,,87,,,,2653,,,,,2.64,,,,93.6,,,,1.8,,,,,,,4.2,,
SURF_12,,Omnitrophica,,,,,,,,,,,,,,192,,,,3357,,,,,6.88,,,,93.3,,,,2.4,,,,,,,4.7,,
SURF_13,,Gammaproteobacteria,,,,,,,,,,,,,,50,,,,1774,,,,,1.69,,,,92.6,,,,3.7,,,,,,,3.4,,
SURF_14,,Proteobacteria; Deltaproteobacteria,,,,,,,,,,,,,,105,,,,3075,,,,,3.08,,,,91.7,,,,1.5,,,,,,,6.6,,
SURF_15,,Proteobacteria; Desulfobacteraceae,,,,,,,,,,,,,,268,,,,5070,,,,,5.29,,,,91.5,,,,8.9,,,,,,,3.6,,
SURF_16,,Proteobacteria; Desulfurivibrio,,,,,,,,,,,,,,118,,,,3854,,,,,1.14,,,,91.5,,,,3.3,,,,,,,5.2,,
SURF_17,,SURF-CP-1,,,,,,,,,,,,,,144,,,,4105,,,,,4.64,,,,90.9,,,,4.7,,,,,,,3.7,,
SURF_18,,OP3,,,,,,,,,,,,,,10,,,,1696,,,,,1.69,,,,90.8,,,,3.3,,,,,,,1.3,,
SURF_19,,Actinobacteria; Gaiellales,,,,,,,,,,,,,,77,,,,2392,,,,,2.35,,,,90.8,,,,5.6,,,,,,,3.8,,
SURF_20,,Proteobacteria; Commomonadacea,,,,,,,,,,,,,,106,,,,4253,,,,,4.29,,,,90.8,,,,2.5,,,,,,,4.6,,
SURF_21,,Actinobacteria; OPB41,,,,,,,,,,,,,,104,,,,3392,,,,,3.79,,,,90.2,,,,4.3,,,,,,,2.8,,
SURF_22,,Tenericutes; Acholeplasma,,,,,,,,,,,,,,46,,,,1705,,,,,1.72,,,,90.0,,,,2.3,,,,,,,4.5,,
SURF_23,,Nitrospirae; Nitrospiraceae,,,,,,,,,,,,,,106,,,,2771,,,,,2.90,,,,88.8,,,,5.3,,,,,,,2.9,,
SURF_24,,Ignavibacteriales,,,,,,,,,,,,,,173,,,,4163,,,,,5.04,,,,87.8,,,,3.5,,,,,,,6.1,,
SURF_25,,OP3,,,,,,,,,,,,,,36,,,,1480,,,,,1.46,,,,87.8,,,,4.3,,,,,,,1.4,,
