Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
DeMMO3_1	k__Bacteria (UID2495)	2993	147	91	0	147	0	0	0	0	100.00	0.00	0.00
DeMMO3_10	k__Bacteria (UID2495)	2993	143	89	5	138	0	0	0	0	94.38	0.00	0.00
DeMMO3_100	k__Bacteria (UID203)	5449	103	57	94	9	0	0	0	0	10.18	0.00	0.00
DeMMO3_11	p__Actinobacteria (UID1454)	732	199	116	10	181	8	0	0	0	93.97	2.59	0.00
DeMMO3_12	c__Betaproteobacteria (UID3959)	235	418	210	26	388	4	0	0	0	93.46	0.87	25.00
DeMMO3_13	k__Archaea (UID2)	207	149	107	9	140	0	0	0	0	93.22	0.00	0.00
DeMMO3_14	c__Deltaproteobacteria (UID3217)	62	280	168	14	262	4	0	0	0	93.15	1.51	0.00
DeMMO3_15	k__Bacteria (UID2565)	2921	152	93	12	137	3	0	0	0	92.69	2.21	0.00
DeMMO3_16	c__Deltaproteobacteria (UID3216)	83	247	155	16	216	15	0	0	0	92.26	6.96	0.00
DeMMO3_17	k__Bacteria (UID2565)	2921	152	93	10	141	1	0	0	0	91.51	1.08	0.00
DeMMO3_18	k__Bacteria (UID1452)	924	163	110	11	152	0	0	0	0	91.06	0.00	0.00
DeMMO3_19	k__Bacteria (UID2565)	2921	152	93	15	134	3	0	0	0	87.39	3.23	0.00
DeMMO3_2	k__Bacteria (UID2495)	2993	147	91	1	145	1	0	0	0	98.90	0.55	0.00
DeMMO3_20	k__Archaea (UID2)	207	149	107	18	131	0	0	0	0	84.81	0.00	0.00
DeMMO3_21	k__Bacteria (UID2495)	2993	147	91	22	123	1	1	0	0	84.78	3.30	25.00
DeMMO3_22	k__Bacteria (UID2495)	2993	147	91	18	128	1	0	0	0	83.52	0.55	0.00
DeMMO3_23	k__Archaea (UID2)	207	149	107	23	125	1	0	0	0	82.94	0.93	100.00
DeMMO3_24	k__Archaea (UID2)	207	149	107	27	120	2	0	0	0	78.19	1.87	0.00
DeMMO3_25	k__Archaea (UID2)	207	149	107	28	119	2	0	0	0	78.04	1.87	0.00
DeMMO3_26	k__Bacteria (UID3187)	2258	181	110	63	117	1	0	0	0	76.18	0.91	0.00
DeMMO3_27	k__Archaea (UID2)	207	149	107	33	116	0	0	0	0	75.74	0.00	0.00
DeMMO3_28	k__Bacteria (UID203)	5449	104	58	17	81	6	0	0	0	75.55	7.76	16.67
DeMMO3_29	k__Bacteria (UID1452)	924	163	110	37	122	4	0	0	0	72.73	2.91	0.00
DeMMO3_3	k__Bacteria (UID2495)	2993	147	91	1	142	3	1	0	0	98.90	4.95	0.00
DeMMO3_30	k__Bacteria (UID3187)	2258	181	110	43	137	1	0	0	0	72.67	0.45	0.00
DeMMO3_31	c__Deltaproteobacteria (UID3216)	83	247	155	60	183	4	0	0	0	72.03	2.26	25.00
DeMMO3_32	c__Deltaproteobacteria (UID3216)	83	247	155	71	174	2	0	0	0	71.96	0.97	0.00
DeMMO3_33	k__Archaea (UID2)	207	149	107	50	98	1	0	0	0	70.79	0.93	0.00
DeMMO3_34	k__Bacteria (UID1452)	924	151	101	39	112	0	0	0	0	69.31	0.00	0.00
DeMMO3_35	k__Archaea (UID2)	207	149	107	39	109	1	0	0	0	68.22	0.93	0.00
DeMMO3_36	k__Bacteria (UID1452)	924	151	101	36	112	3	0	0	0	67.82	2.97	0.00
DeMMO3_37	k__Archaea (UID2)	207	149	107	39	110	0	0	0	0	67.69	0.00	0.00
DeMMO3_38	k__Bacteria (UID1452)	924	161	108	40	116	4	1	0	0	67.42	5.56	0.00
DeMMO3_39	p__Euryarchaeota (UID3)	148	188	125	72	116	0	0	0	0	66.46	0.00	0.00
DeMMO3_4	k__Bacteria (UID2570)	433	270	179	2	267	1	0	0	0	98.88	0.56	0.00
DeMMO3_40	k__Archaea (UID2)	207	149	107	44	102	3	0	0	0	65.97	2.80	0.00
DeMMO3_41	k__Bacteria (UID1452)	924	163	110	45	107	11	0	0	0	65.45	8.38	0.00
DeMMO3_42	k__Bacteria (UID1452)	924	151	101	39	112	0	0	0	0	65.35	0.00	0.00
DeMMO3_43	k__Bacteria (UID1453)	901	171	117	68	102	0	1	0	0	64.69	1.71	0.00
DeMMO3_44	k__Bacteria (UID2565)	2921	152	93	45	106	1	0	0	0	64.17	1.08	0.00
DeMMO3_45	k__Bacteria (UID2565)	2921	143	88	41	101	1	0	0	0	63.00	1.14	0.00
DeMMO3_46	k__Bacteria (UID1453)	901	171	117	50	107	9	5	0	0	62.48	3.75	0.00
DeMMO3_47	k__Bacteria (UID1453)	901	171	117	54	112	5	0	0	0	62.25	1.86	20.00
DeMMO3_48	k__Bacteria (UID2565)	2921	152	93	49	86	16	1	0	0	61.37	9.97	10.53
DeMMO3_49	p__Firmicutes (UID239)	1324	176	102	84	89	3	0	0	0	61.29	2.45	0.00
DeMMO3_5	k__Bacteria (UID2569)	434	278	186	6	264	8	0	0	0	96.77	3.41	25.00
DeMMO3_50	k__Bacteria (UID1452)	924	151	101	45	103	2	1	0	0	60.69	3.08	20.00
DeMMO3_51	k__Bacteria (UID1452)	924	163	110	67	88	6	2	0	0	57.27	7.73	8.33
DeMMO3_52	k__Bacteria (UID2565)	2921	143	88	66	77	0	0	0	0	56.79	0.00	0.00
DeMMO3_53	k__Bacteria (UID1452)	924	163	110	78	84	1	0	0	0	56.36	0.18	0.00
DeMMO3_54	k__Bacteria (UID1452)	924	151	101	55	96	0	0	0	0	54.76	0.00	0.00
DeMMO3_55	c__Betaproteobacteria (UID3959)	235	414	209	213	194	7	0	0	0	52.33	1.83	42.86
DeMMO3_56	k__Bacteria (UID203)	5449	104	58	60	38	6	0	0	0	51.65	5.83	0.00
DeMMO3_57	k__Bacteria (UID1452)	924	151	101	66	84	1	0	0	0	51.31	0.99	0.00
DeMMO3_58	k__Bacteria (UID1453)	901	171	117	69	102	0	0	0	0	50.54	0.00	0.00
DeMMO3_59	k__Bacteria (UID203)	5449	104	58	69	35	0	0	0	0	50.00	0.00	0.00
DeMMO3_6	k__Bacteria (UID2570)	433	270	179	8	260	2	0	0	0	96.37	1.12	0.00
DeMMO3_60	k__Bacteria (UID1453)	901	171	117	80	90	1	0	0	0	49.78	0.09	0.00
DeMMO3_61	k__Bacteria (UID203)	5449	104	58	39	64	1	0	0	0	49.61	0.86	0.00
DeMMO3_62	c__Deltaproteobacteria (UID3217)	62	280	168	141	138	1	0	0	0	48.89	0.60	100.00
DeMMO3_63	k__Bacteria (UID1452)	924	161	108	88	68	5	0	0	0	48.10	4.17	0.00
DeMMO3_64	k__Bacteria (UID2329)	174	149	89	61	82	6	0	0	0	46.11	2.73	0.00
DeMMO3_65	p__Firmicutes (UID239)	1324	175	101	104	68	2	1	0	0	43.88	2.05	20.00
DeMMO3_66	k__Bacteria (UID2565)	2921	143	88	88	53	2	0	0	0	42.11	2.27	0.00
DeMMO3_67	k__Bacteria (UID1453)	901	171	117	81	87	3	0	0	0	40.89	1.71	0.00
DeMMO3_68	k__Bacteria (UID2565)	2921	143	88	73	63	7	0	0	0	40.28	4.72	0.00
DeMMO3_69	k__Bacteria (UID1452)	924	151	101	83	67	1	0	0	0	39.60	0.11	0.00
DeMMO3_7	k__Bacteria (UID2495)	2993	143	89	4	137	2	0	0	0	95.51	2.25	0.00
DeMMO3_70	k__Archaea (UID2)	207	149	107	93	56	0	0	0	0	39.17	0.00	0.00
DeMMO3_71	k__Bacteria (UID2495)	2993	143	89	75	68	0	0	0	0	39.01	0.00	0.00
DeMMO3_72	k__Bacteria (UID1452)	924	151	101	83	68	0	0	0	0	35.15	0.00	0.00
DeMMO3_73	k__Bacteria (UID2495)	2993	143	89	84	59	0	0	0	0	34.02	0.00	0.00
DeMMO3_74	p__Firmicutes (UID239)	1324	173	101	98	69	6	0	0	0	33.65	4.95	0.00
DeMMO3_75	k__Bacteria (UID3187)	2258	181	110	122	56	3	0	0	0	28.34	0.15	33.33
DeMMO3_76	p__Firmicutes (UID239)	1324	175	101	93	66	16	0	0	0	28.02	4.80	31.25
DeMMO3_77	k__Bacteria (UID2565)	2921	143	88	105	37	1	0	0	0	27.97	1.14	0.00
DeMMO3_78	k__Bacteria (UID1452)	924	151	101	98	53	0	0	0	0	27.94	0.00	0.00
DeMMO3_79	k__Bacteria (UID1452)	924	161	108	112	43	6	0	0	0	27.03	1.81	0.00
DeMMO3_8	k__Bacteria (UID3187)	2258	181	110	9	170	2	0	0	0	95.38	1.82	0.00
DeMMO3_80	k__Bacteria (UID3187)	2258	190	119	142	45	3	0	0	0	26.56	1.68	0.00
DeMMO3_81	k__Bacteria (UID2570)	433	273	183	196	76	1	0	0	0	25.99	0.55	0.00
DeMMO3_82	k__Bacteria (UID2329)	174	149	89	102	47	0	0	0	0	25.16	0.00	0.00
DeMMO3_83	k__Bacteria (UID203)	5449	104	58	80	24	0	0	0	0	24.22	0.00	0.00
DeMMO3_84	k__Bacteria (UID1452)	924	163	110	107	55	1	0	0	0	24.14	0.91	0.00
DeMMO3_85	k__Bacteria (UID2570)	433	273	183	198	74	1	0	0	0	23.66	0.18	0.00
DeMMO3_86	k__Bacteria (UID203)	5449	103	57	89	13	1	0	0	0	22.81	1.75	100.00
DeMMO3_87	k__Bacteria (UID203)	5449	104	58	84	20	0	0	0	0	22.49	0.00	0.00
DeMMO3_88	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	22.41	0.00	0.00
DeMMO3_89	k__Bacteria (UID203)	5449	104	58	83	20	1	0	0	0	22.02	1.72	0.00
DeMMO3_9	k__Bacteria (UID2570)	433	273	183	10	258	3	2	0	0	94.81	2.73	0.00
DeMMO3_90	k__Bacteria (UID203)	5449	103	57	83	20	0	0	0	0	20.41	0.00	0.00
DeMMO3_91	p__Euryarchaeota (UID3)	148	188	125	135	49	4	0	0	0	20.41	3.20	75.00
DeMMO3_92	k__Bacteria (UID3187)	2258	181	110	121	59	1	0	0	0	19.02	0.05	0.00
DeMMO3_93	c__Deltaproteobacteria (UID3217)	62	280	168	206	66	8	0	0	0	18.21	1.62	0.00
DeMMO3_94	k__Bacteria (UID1452)	924	151	101	113	38	0	0	0	0	15.52	0.00	0.00
DeMMO3_95	c__Deltaproteobacteria (UID3216)	83	247	155	214	33	0	0	0	0	12.19	0.00	0.00
DeMMO3_96	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	11.99	0.00	0.00
DeMMO3_97	k__Bacteria (UID203)	5449	103	57	92	11	0	0	0	0	11.16	0.00	0.00
DeMMO3_98	root (UID1)	5656	56	24	52	4	0	0	0	0	10.42	0.00	0.00
DeMMO3_99	k__Bacteria (UID203)	5449	104	58	92	12	0	0	0	0	10.27	0.00	0.00
