site,genome,hits,gene_counts,Completeness,Contamination,domain,phylum,class,order,family,genus,species
D1,1,293,6297,97.64,4.37,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,GCF_000510915.2
D1,2,87,2978,93.36,7.09,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,NA,NA
D1,3,65,2754,84.94,2.06,Bacteria,Verrucomicrobiota,Lentisphaeria,UBA1784,GWF2-50-93,NA,NA
D1,4,74,2954,79.35,0.96,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,NA
D1,5,157,5051,78.62,5.53,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,NA
D1,6,67,1521,76.3,0,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,NA,NA
D1,7,6,1415,73.36,0.47,Archaea,Nanoarchaeota,Woesearchaeia,UBA10200,UBA10200,NA,NA
D1,8,4,1610,64.8,0.93,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,CG1-02-32-21,NA,NA
D1,9,44,1588,62.35,9.68,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,NA
D1,10,94,2509,61.93,1.12,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5
D1,11,6,912,59.8,0,Bacteria,Patescibacteria,ABY1,Uhrbacterales,2-12-FULL-60-25,2-12-FULL-60-25,NA
D1,12,55,1634,58.68,9.02,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,NA
D1,13,144,4967,58.15,1.26,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,Variovorax paradoxus_B
D1,14,38,1307,49.82,9.34,Bacteria,UBA9089,UBA9088,UBA9088,NA,NA,NA
D1,15,32,1275,48.68,1.54,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,NA
D1,16,2,536,44.06,10.66,Bacteria,Patescibacteria,ABY1,UBA2591,NA,NA,NA
D1,17,24,1236,43.19,0,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,NA,NA
D1,18,2,603,39.32,2.7,Bacteria,Patescibacteria,Paceibacteria,UBA9983,NA,NA,NA
D1,19,13,1489,37.78,1.01,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,NA,NA,NA
D1,20,34,1648,31.1,0.61,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio_P,NA
D1,21,30,1583,29.94,3.25,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Gallionella,NA
D1,23,1,420,26.62,0,Bacteria,Patescibacteria,ABY1,UBA1544,NA,NA,NA
D1,24,10,687,24.4,0.92,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,UBA349,NA
D1,25,4,576,20.6,0.93,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,NA,NA
