X,DeMMO5_1.faa,DeMMO5_10.faa,DeMMO5_11.faa,DeMMO5_12.faa,DeMMO5_13.faa,DeMMO5_14.faa,DeMMO5_15.faa,DeMMO5_16.faa,DeMMO5_17.faa,DeMMO5_19.faa,DeMMO5_2.faa,DeMMO5_20.faa,DeMMO5_21.faa,DeMMO5_22.faa,DeMMO5_23.faa,DeMMO5_24.faa,DeMMO5_25.faa,DeMMO5_26.faa,DeMMO5_27.faa,DeMMO5_28.faa,DeMMO5_29.faa,DeMMO5_3.faa,DeMMO5_30.faa,DeMMO5_32.faa,DeMMO5_33.faa,DeMMO5_34.faa,DeMMO5_35.faa,DeMMO5_36.faa,DeMMO5_37.faa,DeMMO5_38.faa,DeMMO5_39.faa,DeMMO5_4.faa,DeMMO5_40.faa,DeMMO5_41.faa,DeMMO5_42.faa,DeMMO5_43.faa,DeMMO5_44.faa,DeMMO5_47.faa,DeMMO5_48.faa,DeMMO5_49.faa,DeMMO5_5.faa,DeMMO5_50.faa,DeMMO5_51.faa,DeMMO5_52.faa,DeMMO5_53.faa,DeMMO5_54.faa,DeMMO5_56.faa,DeMMO5_57.faa,DeMMO5_6.faa,DeMMO5_7.faa,DeMMO5_8.faa,DeMMO5_9.faa,
iron_aquisition-iron_transport,0,2,2,0,4,3,0,7,0,0,6,0,0,0,0,0,2,0,2,9,4,4,0,0,4,0,0,13,0,6,0,2,0,0,0,0,3,5,0,0,3,0,0,0,2,0,0,0,4,6,2,0,
iron_aquisition-heme_transport,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport_potential,14,5,12,7,10,8,4,0,3,13,47,2,0,0,28,9,4,5,13,15,6,6,10,0,6,5,15,3,0,2,0,6,0,0,0,2,0,9,2,2,1,0,0,0,2,0,0,6,12,0,23,2,
iron_gene_regulation,7,10,3,8,6,3,0,5,2,4,18,1,1,1,10,3,0,5,8,8,1,4,2,1,1,3,4,6,1,3,2,15,3,1,3,0,1,10,1,2,6,1,0,1,6,1,2,0,12,6,6,0,
iron_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_reduction,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
iron_storage,2,2,1,0,1,1,0,4,1,1,3,1,0,0,3,3,0,3,1,6,2,1,0,2,0,0,3,2,0,0,1,1,0,0,0,0,0,2,1,0,1,0,1,2,1,0,0,1,2,0,1,0,
magnetosome_formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
