Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
WC_1	p__Cyanobacteria (UID2182)	89	544	424	77	456	11	0	0	0	88.49	2.08	27.27
WC_10	o__Burkholderiales (UID4000)	193	427	214	154	245	27	1	0	0	59.73	8.75	33.33
WC_11	k__Bacteria (UID1453)	901	171	117	56	115	0	0	0	0	58.95	0.00	0.00
WC_12	k__Bacteria (UID1452)	924	151	101	51	100	0	0	0	0	58.15	0.00	0.00
WC_13	k__Bacteria (UID1452)	924	151	101	49	92	10	0	0	0	58.09	6.77	0.00
WC_14	k__Bacteria (UID1453)	901	171	117	60	109	2	0	0	0	58.04	1.71	0.00
WC_15	k__Bacteria (UID203)	5449	104	58	40	64	0	0	0	0	56.87	0.00	0.00
WC_16	p__Cyanobacteria (UID2189)	82	579	450	277	300	2	0	0	0	52.72	0.33	100.00
WC_17	f__Rhodobacteraceae (UID3340)	84	568	330	276	287	4	1	0	0	50.15	1.03	0.00
WC_18	k__Bacteria (UID203)	5449	104	58	70	34	0	0	0	0	46.55	0.00	0.00
WC_19	k__Bacteria (UID2565)	2921	152	93	69	73	9	1	0	0	45.39	0.80	8.33
WC_2	k__Bacteria (UID1452)	924	161	108	20	140	1	0	0	0	81.94	0.93	0.00
WC_20	k__Bacteria (UID2565)	2921	152	93	85	53	14	0	0	0	45.33	7.57	50.00
WC_21	k__Bacteria (UID203)	5449	100	55	68	29	3	0	0	0	44.85	3.33	0.00
WC_22	k__Bacteria (UID2982)	88	230	148	120	109	1	0	0	0	44.11	0.68	0.00
WC_23	k__Bacteria (UID1453)	901	171	117	87	79	5	0	0	0	43.29	0.47	20.00
WC_24	k__Bacteria (UID2329)	174	149	89	72	74	3	0	0	0	43.27	2.81	33.33
WC_25	c__Spirochaetia (UID2496)	72	215	125	118	96	1	0	0	0	42.95	0.80	0.00
WC_26	k__Bacteria (UID203)	5449	104	58	72	31	1	0	0	0	41.38	0.57	100.00
WC_27	k__Bacteria (UID2565)	2921	152	93	78	72	2	0	0	0	39.70	2.15	0.00
WC_28	k__Bacteria (UID1453)	901	171	117	98	72	1	0	0	0	39.42	0.85	0.00
WC_29	k__Bacteria (UID203)	5449	104	58	79	25	0	0	0	0	37.93	0.00	0.00
WC_3	p__Bacteroidetes (UID2591)	364	303	203	62	238	3	0	0	0	74.06	0.74	33.33
WC_30	k__Bacteria (UID2495)	2993	143	89	80	59	3	1	0	0	37.73	5.06	16.67
WC_31	k__Bacteria (UID203)	5449	104	58	81	23	0	0	0	0	37.07	0.00	0.00
WC_32	k__Bacteria (UID1453)	901	171	117	99	72	0	0	0	0	36.06	0.00	0.00
WC_33	k__Bacteria (UID3187)	2258	181	110	104	76	1	0	0	0	35.90	0.23	0.00
WC_34	o__Actinomycetales (UID1663)	488	310	185	193	115	2	0	0	0	35.85	0.81	50.00
WC_35	k__Bacteria (UID203)	5449	104	58	72	27	5	0	0	0	35.19	2.35	0.00
WC_36	k__Bacteria (UID203)	5449	103	58	72	30	1	0	0	0	34.73	1.72	0.00
WC_37	k__Bacteria (UID1452)	924	161	108	96	65	0	0	0	0	33.08	0.00	0.00
WC_38	k__Bacteria (UID203)	5449	104	58	66	38	0	0	0	0	32.52	0.00	0.00
WC_39	k__Bacteria (UID1452)	924	161	108	102	59	0	0	0	0	29.38	0.00	0.00
WC_4	o__Burkholderiales (UID4000)	193	427	214	110	256	54	7	0	0	71.31	12.65	30.67
WC_40	k__Bacteria (UID2329)	174	149	89	106	41	2	0	0	0	28.48	2.25	50.00
WC_41	k__Bacteria (UID203)	5449	103	57	83	20	0	0	0	0	28.07	0.00	0.00
WC_42	k__Bacteria (UID203)	5449	103	58	78	25	0	0	0	0	27.47	0.00	0.00
WC_43	k__Bacteria (UID2495)	2993	143	89	93	48	2	0	0	0	27.41	1.19	0.00
WC_44	k__Bacteria (UID2565)	2921	152	93	115	37	0	0	0	0	24.16	0.00	0.00
WC_45	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	24.14	0.00	0.00
WC_46	k__Bacteria (UID203)	5449	100	55	77	21	2	0	0	0	23.88	1.82	50.00
WC_47	k__Bacteria (UID2495)	2993	143	89	107	35	1	0	0	0	21.61	1.12	0.00
