Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
SW_1	c__Betaproteobacteria (UID3888)	323	387	234	2	381	4	0	0	0	99.15	0.82	0.00
SW_10	c__Gammaproteobacteria (UID4201)	1164	275	174	10	259	5	1	0	0	95.69	2.59	0.00
SW_11	k__Bacteria (UID2982)	88	229	148	8	214	7	0	0	0	95.27	4.73	0.00
SW_12	k__Bacteria (UID1453)	901	171	117	6	165	0	0	0	0	94.87	0.00	0.00
SW_13	k__Bacteria (UID2982)	88	229	148	9	219	1	0	0	0	94.26	0.68	0.00
SW_14	c__Gammaproteobacteria (UID4266)	1097	270	172	31	235	4	0	0	0	94.19	1.16	0.00
SW_15	o__Rhizobiales (UID3642)	107	485	316	24	459	1	1	0	0	94.10	0.95	0.00
SW_16	o__Rickettsiales (UID3809)	83	324	211	21	298	3	2	0	0	92.89	3.08	0.00
SW_17	c__Gammaproteobacteria (UID4201)	1164	275	174	23	251	1	0	0	0	89.75	0.14	100.00
SW_18	k__Bacteria (UID2982)	88	230	148	20	205	4	1	0	0	89.71	3.04	0.00
SW_19	c__Gammaproteobacteria (UID4201)	1164	275	174	32	239	4	0	0	0	87.36	1.72	0.00
SW_2	k__Bacteria (UID2495)	2993	147	91	1	146	0	0	0	0	98.90	0.00	0.00
SW_20	k__Bacteria (UID1453)	901	171	117	16	148	7	0	0	0	87.18	1.42	0.00
SW_21	k__Bacteria (UID203)	5449	103	58	10	67	26	0	0	0	87.07	8.06	0.00
SW_22	k__Bacteria (UID2495)	2993	143	89	14	129	0	0	0	0	85.89	0.00	0.00
SW_23	k__Bacteria (UID2495)	2993	143	89	13	130	0	0	0	0	85.39	0.00	0.00
SW_24	c__Betaproteobacteria (UID3959)	235	419	211	85	332	2	0	0	0	84.80	0.59	0.00
SW_25	c__Gammaproteobacteria (UID4201)	1164	275	174	57	216	1	1	0	0	83.91	0.96	0.00
SW_26	c__Gammaproteobacteria (UID4267)	119	544	284	85	452	7	0	0	0	83.76	2.05	0.00
SW_27	c__Gammaproteobacteria (UID4266)	1097	269	171	63	205	0	0	0	1	83.63	0.97	0.00
SW_28	k__Bacteria (UID203)	5449	104	58	14	76	14	0	0	0	83.31	2.19	0.00
SW_29	k__Bacteria (UID2570)	433	273	183	50	219	4	0	0	0	83.11	1.82	0.00
SW_3	k__Bacteria (UID2495)	2993	147	91	3	144	0	0	0	0	97.80	0.00	0.00
SW_30	k__Bacteria (UID3187)	2258	182	112	57	118	7	0	0	0	82.51	5.36	14.29
SW_31	k__Bacteria (UID203)	5449	104	58	54	50	0	0	0	0	77.59	0.00	0.00
SW_32	k__Bacteria (UID2565)	2921	152	93	56	94	2	0	0	0	74.46	2.15	0.00
SW_33	c__Alphaproteobacteria (UID3305)	564	349	230	74	272	3	0	0	0	73.23	0.88	33.33
SW_34	k__Bacteria (UID2495)	2993	143	89	41	102	0	0	0	0	71.81	0.00	0.00
SW_35	k__Bacteria (UID203)	5449	104	58	55	49	0	0	0	0	70.69	0.00	0.00
